CursoID,Nombre,Creditos,Departamento
1,"Curso Minus 1",5,Economía
2,"Curso Voluptas 2",2,Economía
3,"Curso Qui 3",5,Historia
4,"Curso Omnis 4",2,Economía
5,"Curso Cum 5",5,Matemáticas
6,"Curso Harum 6",1,Biología
7,"Curso Quisquam 7",5,Ingeniería
8,"Curso Vel 8",1,Filosofía
9,"Curso Distinctio 9",4,Ingeniería
10,"Curso Expedita 10",4,Economía
11,"Curso Illum 11",2,Filosofía
12,"Curso Tenetur 12",3,Matemáticas
13,"Curso Quis 13",2,Ingeniería
14,"Curso Est 14",5,Filosofía
15,"Curso Corrupti 15",3,Filosofía
16,"Curso Magnam 16",5,Biología
17,"Curso Temporibus 17",3,Filosofía
18,"Curso Mollitia 18",4,Filosofía
19,"Curso Minima 19",2,Biología
20,"Curso Architecto 20",2,Ingeniería
21,"Curso Maiores 21",5,Economía
22,"Curso Eveniet 22",1,Economía
23,"Curso Aliquid 23",4,Biología
24,"Curso Omnis 24",5,Historia
25,"Curso Id 25",4,Historia
26,"Curso Voluptas 26",4,Filosofía
27,"Curso Ipsum 27",2,Biología
28,"Curso Reiciendis 28",5,Matemáticas
29,"Curso Aut 29",3,Biología
30,"Curso Sit 30",1,Economía
31,"Curso Cumque 31",5,Economía
32,"Curso Inventore 32",2,Historia
33,"Curso Veniam 33",4,Historia
34,"Curso Veritatis 34",2,Historia
35,"Curso Aliquam 35",1,Filosofía
36,"Curso A 36",5,Filosofía
37,"Curso Dolore 37",5,Ingeniería
38,"Curso Vel 38",4,Biología
39,"Curso Excepturi 39",2,Matemáticas
40,"Curso Velit 40",1,Biología
41,"Curso Numquam 41",2,Economía
42,"Curso Aperiam 42",1,Historia
43,"Curso Incidunt 43",2,Biología
44,"Curso Saepe 44",1,Matemáticas
45,"Curso Neque 45",1,Historia
46,"Curso Aut 46",2,Ingeniería
47,"Curso Eos 47",3,Filosofía
48,"Curso Labore 48",2,Biología
49,"Curso Dolor 49",4,Matemáticas
50,"Curso Non 50",1,Ingeniería
51,"Curso Molestias 51",4,Ingeniería
52,"Curso Inventore 52",3,Matemáticas
53,"Curso Eveniet 53",2,Historia
54,"Curso Debitis 54",1,Economía
55,"Curso Assumenda 55",4,Filosofía
56,"Curso Unde 56",1,Economía
57,"Curso Blanditiis 57",3,Ingeniería
58,"Curso Pariatur 58",2,Filosofía
59,"Curso Nihil 59",4,Economía
60,"Curso Vero 60",1,Economía
61,"Curso Laboriosam 61",1,Biología
62,"Curso Dignissimos 62",1,Historia
63,"Curso Cum 63",2,Economía
64,"Curso Qui 64",5,Biología
65,"Curso Error 65",5,Ingeniería
66,"Curso Quo 66",4,Economía
67,"Curso Minus 67",5,Ingeniería
68,"Curso Esse 68",1,Historia
69,"Curso Totam 69",3,Filosofía
70,"Curso Debitis 70",5,Matemáticas
71,"Curso Autem 71",5,Filosofía
72,"Curso Ea 72",2,Ingeniería
73,"Curso Voluptatibus 73",4,Biología
74,"Curso Molestiae 74",1,Matemáticas
75,"Curso Suscipit 75",1,Economía
76,"Curso Alias 76",5,Matemáticas
77,"Curso Voluptate 77",2,Ingeniería
78,"Curso Adipisci 78",5,Historia
79,"Curso Beatae 79",4,Filosofía
80,"Curso Saepe 80",3,Filosofía
81,"Curso Error 81",2,Ingeniería
82,"Curso Laboriosam 82",1,Biología
83,"Curso Totam 83",2,Filosofía
84,"Curso Assumenda 84",2,Filosofía
85,"Curso Cupiditate 85",2,Economía
86,"Curso Voluptates 86",1,Economía
87,"Curso Eligendi 87",1,Biología
88,"Curso Aliquid 88",3,Matemáticas
89,"Curso Repudiandae 89",2,Economía
90,"Curso Reiciendis 90",1,Historia
91,"Curso Dolor 91",5,Ingeniería
92,"Curso Tempora 92",2,Biología
93,"Curso Debitis 93",4,Historia
94,"Curso Eos 94",3,Historia
95,"Curso Deserunt 95",5,Matemáticas
96,"Curso Error 96",2,Economía
97,"Curso Quia 97",5,Ingeniería
98,"Curso At 98",1,Biología
99,"Curso Rem 99",2,Economía
100,"Curso Sed 100",4,Biología
